spp,D.max_cm,D.min_cm,h.max_cm,Mort_total,Mort_Rec,Mort_Trans,Mort_Ant,,Morph,key_sp,Ac_sediment_type,Prof_metros,Pol,Zona,Tran,Est,Sub_zona,MorphSub_zona
MCAV,20,15,26,50,0,0,50,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
MCAV,10,15,15,20,5,0,15,,Mass,key_sp,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
AAGA,16,10,15,0,0,0,0,,submas_enc,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,submas_enc_HGC
AAGA,13,10,2,0,0,0,0,,submas_enc,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,submas_enc_HGC
AAGA,20,20,10,0,0,0,0,,submas_enc,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,submas_enc_HGC
OFAV,52,25,30,10,10,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,15,12,5,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
ATEN,12,12,8,0,0,0,0,,Foli,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,Foli_HGC
PSTR,18,12,8,0,0,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
OFAV,57,44,66,20,0,0,20,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,17,13,5,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
HCUC,24,23,1,15,0,0,15,,Foli,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,Foli_HGC
PAST,10,8,1,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,10,10,1,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,10,10,1,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
AAGA,10,8,1,0,0,0,0,,submas_enc,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,submas_enc_HGC
PAST,8,8,6,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
MCAV,16,14,16,15,0,0,15,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,12,12,3,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,18,12,1,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,8,8,1,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PSTR,40,28,20,100,0,0,100,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,24,10,12,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,10,10,4,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
MCAV,22,15,1,0,0,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,20,20,1,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
AFRA,8,8,1,0,0,0,0,,Foli,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,Foli_HGC
SINT,13,13,2,0,0,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
SSID,25,20,15,5,5,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PSTR,17,12,10,0,0,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
SSID,12,12,5,1,1,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
SSID,24,21,10,0,0,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
SSID,20,15,10,10,0,0,10,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
ATEN,40,30,10,0,0,0,0,,Foli,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,Foli_HGC
ATEN,42,15,20,0,0,0,0,,Foli,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,Foli_HGC
AAGA,8,8,5,0,0,0,0,,submas_enc,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,submas_enc_HGC
AAGA,20,12,5,0,0,0,0,,submas_enc,N/A,allochthonous,9.6,Norte,HG,1,HGC_N,_HGC,submas_enc_HGC
MCAV,20,17,5,90,0,0,90,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PAST,18,10,8,5,5,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
SSID,24,14,3,5,5,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
SSID,10,10,3,15,0,0,15,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PPOR,11,11,3,0,0,0,0,,Digi,key_sp,allochthonous,9.6,Norte,HG,1,HGC_N,MSE,DigiMSE
PAST,20,5,10,0,0,0,0,,Mass,N/A,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
DLAB,30,30,30,0,0,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
OANN,18,12,10,0,0,0,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
MCAV,15,10,10,10,0,0,10,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
PSTR,50,50,40,90,5,0,85,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
SSID,34,34,10,15,5,10,0,,Mass,key_sp,authocthonous,9.6,Norte,HG,1,HGC_N,_HGC,Mass_HGC
