Zone,Year,Tempo,Spp.,IVI
HG,1985,HG_1985,MANN CX,23.97
RF,2019,RF_2019,PAST,23.37
RF,1985,RF_1985,PAST,19.55
HG,1985,HG_1985,MCAV,18.71
RF,1985,RF_1985,ATEN,15.32
HG,2019,HG_2019,AAGA,14.59
RF,2019,RF_2019,APRO,13.52
RF,2019,RF_2019,APAL,13.39
HG,2019,HG_2019,CNAT,13.24
RF,1985,RF_1985,APAL,11.12
RF,1985,RF_1985,SRAD,10.67
RF,1985,RF_1985,ACER,9.93
RF,1985,RF_1985,SBOU,9.84
RF,1985,RF_1985,AAGA,9.44
HG,2019,HG_2019,SSID,9.27
HG,2019,HG_2019,PAST,8.94
HG,1985,HG_1985,PAST,8.58
RF,2019,RF_2019,AAGA,8.44
RF,2019,RF_2019,SSID,8.14
HG,2019,HG_2019,MCAV,7.86
HG,1985,HG_1985,DCLI,7.53
HG,1985,HG_1985,AAGA,6.6
HG,2019,HG_2019,PPOR,6.53
RF,1985,RF_1985,MANN CX,6.09
RF,2019,RF_2019,ATEN,6.05
HG,2019,HG_2019,PSTR,6
RF,2019,RF_2019,PPOR,5.77
RF,1985,RF_1985,SSID,5.49
HG,1985,HG_1985,DSTO,5.25
HG,1985,HG_1985,DLAB,5.18
HG,1985,HG_1985,ACER,4.87
HG,1985,HG_1985,SSID,4.2
HG,2019,HG_2019,DLAB,3.66
HG,2019,HG_2019,SINT,3.6
RF,2019,RF_2019,SINT,3.3
HG,1985,HG_1985,PSTR,3.26
HG,1985,HG_1985,MMEA,3.2
HG,2019,HG_2019,ATEN,3.19
HG,2019,HG_2019,MMEA,2.84
HG,1985,HG_1985,PPOR,2.78
RF,2019,RF_2019,PSTR,2.64
RF,1985,RF_1985,IRIG,2.56
RF,2019,RF_2019,ACER,2.51
HG,2019,HG_2019,ACER,2.38
HG,2019,HG_2019,PFUR,2.3
HG,1985,HG_1985,DCIL,1.84
RF,2019,RF_2019,ALAM,1.65
HG,2019,HG_2019,DSTO,1.45
RF,2019,RF_2019,SRAD,1.45
RF,2019,RF_2019,PFUR,1.44
HG,1985,HG_1985,IRIG,1.37
HG,2019,HG_2019,HCUC,1.36
HG,1985,HG_1985,SINT,1.34
HG,1985,HG_1985,SRAD,1.33
RF,2019,RF_2019,CNAT,1.25
HG,2019,HG_2019,IRIG,1.2
RF,2019,RF_2019,MCAV,1.16
RF,2019,RF_2019,AFRA,1.12
HG,2019,HG_2019,AFRA,0.98
HG,2019,HG_2019,MLAM,0.89
HG,2019,HG_2019,MANN CX,8.1
RF,2019,RF_2019,DSTO,0.77
HG,2019,HG_2019,SBOU,0.73
RF,2019,RF_2019,ALAM,0.68
RF,2019,RF_2019,MMEA,0.68
RF,2019,RF_2019,PDIV,0.66
RF,2019,RF_2019,SBOU,0.61
RF,2019,RF_2019,FFRA,0.58
HG,2019,HG_2019,PDIV,0.46
HG,2019,HG_2019,SRAD,0.43
RF,2019,RF_2019,MANN CX,0.83
