ID,Zona,Tran,L-Tran,Codigo,N,Den10,Den,Morpho_functional,Colony_morphology,key_sp
1,RF_2019,5,5,ALAM,1,2,0.2,Non-framework,Foliose,N/A
2,RF_2019,5,5,OFAV,1,2,0.2,Massive,Mass/Sm-m,key_sp
3,RF_2019,5,5,PAST,9,18,1.8,Massive,Mass/Sm-m,N/A
4,RF_2019,5,5,PPOR,3,6,0.6,Foliose-digitiform,Digit,N/A
5,RF_2019,5,5,PSTR,2,4,0.4,Massive,Mass/Sm-m,key_sp
6,RF_2019,5,5,SSID,2,4,0.4,Massive,Mass/Sm-m,key_sp
7,RF_2019,5,5,AAGA,18,36,3.6,Foliose-digitiform,Sub-mass/encr,N/A
8,RF_2019,5,5,ATEN,7,14,1.4,Foliose-digitiform,Foliose,N/A
9,HG_2019,4,10,MCAV,7,7,0.7,Massive,Mass/Sm-m,key_sp
10,HG_2019,4,10,PAST,5,5,0.5,Massive,Mass/Sm-m,N/A
11,HG_2019,4,10,PSTR,3,3,0.3,Massive,Mass/Sm-m,key_sp
12,HG_2019,4,10,SINT,1,1,0.1,Massive,Sub-mass/encr,N/A
13,HG_2019,4,10,SSID,3,3,0.3,Massive,Mass/Sm-m,key_sp
14,HG_2019,4,10,AAGA,13,13,1.3,Foliose-digitiform,Sub-mass/encr,N/A
15,HG_2019,6,10,MCAV,4,4,0.4,Massive,Mass/Sm-m,key_sp
16,HG_2019,6,10,PAST,7,7,0.7,Massive,Mass/Sm-m,N/A
17,HG_2019,6,10,PPOR,1,1,0.1,Foliose-digitiform,Digit,N/A
18,HG_2019,6,10,PSTR,2,2,0.2,Massive,Mass/Sm-m,key_sp
19,HG_2019,6,10,SINT,2,2,0.2,Massive,Sub-mass/encr,N/A
20,HG_2019,6,10,SSID,9,9,0.9,Massive,Mass/Sm-m,key_sp
21,HG_2019,6,10,AAGA,15,15,1.5,Foliose-digitiform,Sub-mass/encr,N/A
22,HG_2019,1,30,ACER,3,1,0.1,Frwk-Build branch,Branch,key_sp
23,HG_2019,1,30,CNAT,1,0,0,Massive,Mass/Sm-m,key_sp
24,HG_2019,1,30,DLAB,2,1,0.1,Massive,Mass/Sm-m,key_sp
25,HG_2019,1,30,HCUC,1,0,0,Non-framework,Foliose,N/A
26,HG_2019,1,30,MCAV,10,3,0.3,Massive,Mass/Sm-m,key_sp
27,HG_2019,1,30,OFAV,3,1,0.1,Massive,Mass/Sm-m,key_sp
28,HG_2019,1,30,PAST,17,6,0.6,Massive,Mass/Sm-m,N/A
29,HG_2019,1,30,PPOR,6,2,0.2,Foliose-digitiform,Digit,N/A
30,HG_2019,1,30,PSTR,4,1,0.1,Massive,Mass/Sm-m,key_sp
31,HG_2019,1,30,SINT,2,1,0.1,Massive,Sub-mass/encr,N/A
32,HG_2019,1,30,SSID,14,5,0.5,Massive,Mass/Sm-m,key_sp
33,HG_2019,1,30,AAGA,34,11,1.1,Foliose-digitiform,Sub-mass/encr,N/A
34,HG_2019,2,30,AAGA,17,6,0.6,Foliose-digitiform,Sub-mass/encr,N/A
35,HG_2019,2,30,ACER,1,0,0,Frwk-Build branch,Branch,key_sp
36,HG_2019,2,30,DSTO,1,0,0,Non-framework,Mass/Sm-m,N/A
37,HG_2019,2,30,MCAV,2,1,0.1,Massive,Mass/Sm-m,key_sp
38,HG_2019,2,30,OFAV,4,1,0.1,Massive,Mass/Sm-m,key_sp
39,HG_2019,2,30,PAST,24,8,0.8,Massive,Mass/Sm-m,N/A
40,HG_2019,2,30,PDIV,1,0,0,Non-framework,Digit,N/A
41,HG_2019,2,30,PPOR,3,1,0.1,Foliose-digitiform,Digit,N/A
42,HG_2019,2,30,PSTR,2,1,0.1,Massive,Mass/Sm-m,key_sp
43,HG_2019,2,30,SBOU,4,1,0.1,Non-framework,Mass/Sm-m,N/A
44,HG_2019,2,30,SINT,1,0,0,Massive,Sub-mass/encr,N/A
45,HG_2019,2,30,SSID,28,9,0.9,Massive,Mass/Sm-m,key_sp
46,HG_2019,3,30,MCAV,14,5,0.5,Massive,Mass/Sm-m,key_sp
47,HG_2019,3,30,OFAV,6,2,0.2,Massive,Mass/Sm-m,key_sp
48,HG_2019,3,30,PAST,18,6,0.6,Massive,Mass/Sm-m,N/A
49,HG_2019,3,30,PPOR,1,0,0,Foliose-digitiform,Digit,N/A
50,HG_2019,3,30,SINT,3,1,0.1,Massive,Sub-mass/encr,N/A
51,HG_2019,3,30,SSID,14,5,0.5,Massive,Mass/Sm-m,key_sp
52,HG_2019,3,30,AAGA,50,17,1.7,Foliose-digitiform,Sub-mass/encr,N/A
53,HG_2019,1,30,AAGA,10,3,0.3,Foliose-digitiform,Sub-mass/encr,N/A
54,HG_2019,1,30,AFRA,1,0,0,Foliose-digitiform,Foliose,N/A
55,HG_2019,1,30,DLAB,1,0,0,Massive,Mass/Sm-m,key_sp
56,HG_2019,1,30,HCUC,1,0,0,Non-framework,Foliose,N/A
57,HG_2019,1,30,IRIG,2,1,0.1,Non-framework,Mass/Sm-m,N/A
58,HG_2019,1,30,MCAV,9,3,0.3,Massive,Mass/Sm-m,key_sp
59,HG_2019,1,30,OANN,1,0,0,Massive,Mass/Sm-m,key_sp
60,HG_2019,1,30,OFAV,2,1,0.1,Massive,Mass/Sm-m,key_sp
61,HG_2019,1,30,PAST,17,6,0.6,Massive,Mass/Sm-m,N/A
62,HG_2019,1,30,PPOR,3,1,0.1,Foliose-digitiform,Digit,N/A
63,HG_2019,1,30,PSTR,7,2,0.2,Massive,Mass/Sm-m,key_sp
64,HG_2019,1,30,SINT,4,1,0.1,Massive,Sub-mass/encr,N/A
65,HG_2019,1,30,SSID,17,6,0.6,Massive,Mass/Sm-m,key_sp
66,HG_2019,1,30,AAGA,1,0,0,Foliose-digitiform,Sub-mass/encr,N/A
67,HG_2019,1,30,ATEN,13,4,0.4,Foliose-digitiform,Foliose,N/A
68,HG_2019,2,30,AAGA,1,0,0,Foliose-digitiform,Sub-mass/encr,N/A
69,HG_2019,2,30,CNAT,1,0,0,Massive,Mass/Sm-m,key_sp
70,HG_2019,2,30,DLAB,2,1,0.1,Massive,Mass/Sm-m,key_sp
71,HG_2019,2,30,IRIG,4,1,0.1,Non-framework,Mass/Sm-m,N/A
72,HG_2019,2,30,MCAV,15,5,0.5,Massive,Mass/Sm-m,key_sp
73,HG_2019,2,30,MLAM,1,0,0,Non-framework,Foliose,N/A
74,HG_2019,2,30,OFAV,1,0,0,Massive,Mass/Sm-m,key_sp
75,HG_2019,2,30,PAST,14,5,0.5,Massive,Mass/Sm-m,N/A
76,HG_2019,2,30,PPOR,8,3,0.3,Foliose-digitiform,Digit,N/A
77,HG_2019,2,30,PSTR,6,2,0.2,Massive,Mass/Sm-m,key_sp
78,HG_2019,2,30,SINT,1,0,0,Massive,Sub-mass/encr,N/A
79,HG_2019,2,30,SSID,9,3,0.3,Massive,Mass/Sm-m,key_sp
80,HG_2019,2,30,AAGA,17,6,0.6,Foliose-digitiform,Sub-mass/encr,N/A
81,HG_2019,2,30,ATEN,16,5,0.5,Foliose-digitiform,Foliose,N/A
82,RF_2019,1,30,ACER,5,2,0.2,Frwk-Build branch,Branch,key_sp
