Year,Code,Zona,Depth,Tran,Spp,Morpho_functional,Colony_morphology,key_sp,LCC
1979,Ma,HG before 1990s,5,1,Aaga,Non-framework,Sub-mass/encr,Non-accretional,1.29
1979,Ma,RF before 1990s,5,1,Acer,Frwk-Build branch,Branch,key_spp.,8.48
1979,Ma,RF before 1990s,5,1,Apal,Frwk-Build branch,Branch,key_spp.,7.04
1979,Ma,RF before 1990s,5,1,Aten,Foliose-digitiform,Foliose,Non-accretional,1.29
1979,Ma,RF before 1990s,5,1,Irig,Non-framework,Mass/Sm-m,Non-accretional,0.57
1979,Ma,RF before 1990s,5,1,Oann,Massive,Mass/Sm-m,key_spp.,3.3
1979,Ma,RF before 1990s,5,1,Mcav,Massive,Mass/Sm-m,key_spp.,0.72
1979,Ma,RF before 1990s,5,1,Sint,Non-framework,Sub-mass/encr,Non-accretional,0.72
1979,Ma,RF before 1990s,5,1,Srad,Non-framework,Sub-mass/encr,Non-accretional,0.14
1979,Ma,RF before 1990s,5,1,Ssid,Massive,Mass/Sm-m,key_spp.,1.01
1979,Ma,RF before 1990s,5,2,Aaga,Non-framework,Sub-mass/encr,Non-accretional,0.52
1979,Ma,RF before 1990s,5,2,Acer,Frwk-Build branch,Branch,key_spp.,2.34
1979,Ma,RF before 1990s,5,2,Apal,Frwk-Build branch,Branch,key_spp.,5.59
1979,Ma,RF before 1990s,5,2,Aten,Foliose-digitiform,Foliose,Non-accretional,1.56
1979,Ma,RF before 1990s,5,2,Irig,Non-framework,Mass/Sm-m,Non-accretional,3.9
1979,Ma,RF before 1990s,5,2,Mcav,Massive,Mass/Sm-m,key_spp.,0.26
1979,Ma,RF before 1990s,5,3,Aaga,Non-framework,Sub-mass/encr,Non-accretional,0.72
1979,Ma,RF before 1990s,5,3,Acer,Frwk-Build branch,Branch,key_spp.,4.89
1979,Ma,RF before 1990s,5,3,Apal,Frwk-Build branch,Branch,key_spp.,2.73
1979,Ma,RF before 1990s,5,3,Past,Non-framework,Mass/Sm-m,Non-accretional,0.86
